"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","category"
"1","a4990ba96177fa50430301a6086875ae",441,"male","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"2","8f97e90e893e25d7524c9e273d1afbf2",562,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"3","bc6e6ed30b0ea44ac6d9bfd84e1d1a87",559,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"4","82ce624d4afffae00e57b6ad2df16aec",554,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"5","1f3f6a93f021a93c8951c4b39fdc200b",554,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"6","ab75ab044723a2885f36345bced0b29e",557,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"7","a5d81616dc678f0021c918567682a7f2",559,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"8","ad2e42291f0d74bed9e79e98aa67c666",424,"male","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"9","e081c1ee9a1f4e9013743902daba70ed",435,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"10","f1853e9560842bd536d0142c22f2a759",440,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"11","59387ffa701d388bdca9a463efb2c228",560,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"12","afda009b31dde550c5d22f8098cd80e9",441,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"13","f9ad9327a4d154239961d4e834794768",443,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"14","7b3824ad5ba2bffdfd17d7b822a89a55",429,"male","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"15","848c53a601fdd1e7f30253b408f52804",539,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"16","35ceb8232e4c0e52725085bcf076e446",560,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"17","5be636c398e271b2392393a6f0512ba7",559,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"18","f75f17a0d8c18d8ec872cb4e2d844ccb",545,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"19","4df9a600af2bb13c87b62f622646567e",440,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"20","58e9a80fa4034cbf4baeaf7ef00820b9",432,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"21","c5583345f0476fbb13351998cccc166d",559,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"22","d637ba26ed77902014a7cc7dd9480c46",441,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"23","3c56e1c719a90229780f887c8852a120",443,"male","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
