"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","text_value"
"1","66c737fb0925eb0ad949ca0cd82ddfde",423,"male","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","rd8, ventrally retinal degeneration spot with white granulates on the fundus"
"2","199f35764f242960621dd25cf2dd47d8",541,"female","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","right: little bit vitorus abnormal"
"3","13570eec4098b98c8dd51fa8b7ec6a66",418,"female","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","rd8"
"4","df92d22ed7141e0adfffeed755444c6c",420,"male","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","Retina wird unten duenner, Alterrungsflecken?"
"5","d64127dab7b6aee133ba67a30bb33085",420,"female","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","some degree of granularity right eye"
"6","9af9e1974f8e6f5151c3077d20fdb4ef",414,"female","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","left: vitrous abnormal"
"7","844ef2ab3bd8bb933f55a87838375606",422,"female","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","retinal blood vessel pattern abnormal right, hyaloid persistent right"
"8","bc21c613ac1bfe1f0bc26ffba6f7fa5f",541,"female","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","not tested due to anesthesia issue"
"9","caba93db868c46b2ef5b97b15f172b08",537,"male","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","left: retina abnormal, both sides: cornea with deposits"
"10","38312a74a710489a4004b759647a9660",529,"female","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","right: vitrous abnormal"
"11","67e58c230a21bb9f9300f4628c78bcdc",542,"female","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","not tested due to anesthesia issue"
"12","50c6c0c1887acb61884a673c97305c64",537,"male","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","left: vitrous abnormal, both sides: cornea with deposits"
"13","62d5a599b957469e9d90edf534365ce9",421,"male","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","ventrally retinal degeneration"
"14","7fc24c9425bb671ad8edee97888e2c29",421,"male","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","right: Retinadegeneration"
"15","997c8fb33567f16c62253ecb9216eb44",417,"male","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","OCT description","HMGULA_OCT_002_001","left eye rd8 related degeneration areas small"
