"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point","discrete_point","time_point"
"1","9a2ecaa88eae0b7ef140c1aa1d9e4976",491,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5309.8,5,"2020-07-15T00:00:00Z"
"2","d46e046685048783edb7637c73e0fd84",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4030.6,10,"2021-01-26T00:00:00Z"
"3","13338c71860add2eaa945b25b7d2425d",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4512.9,20,"2021-01-25T00:00:00Z"
"4","92ac14060b953f30f1e17f6eb9611614",485,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4501.9,5,"2020-04-27T00:00:00Z"
"5","699e9ed8bfcaa10f95eb22233588369b",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4382.1,15,"2020-08-25T00:00:00Z"
"6","7e56e77c30a0a6a62439104e61ea3501",491,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3667,10,"2020-04-27T00:00:00Z"
"7","829c97af766741c32c2a48ee62652532",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5051,5,"2021-01-25T00:00:00Z"
"8","6937766721255fa062539994d1c530d1",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3362,20,"2020-09-07T00:00:00Z"
"9","5dbbe405262cae143b45e2b6f1586695",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3611.6,15,"2021-01-26T00:00:00Z"
"10","8de4d551116265b4b9cc8aaaa779108b",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5903.7,10,"2020-09-07T00:00:00Z"
"11","38312a74a710489a4004b759647a9660",487,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4318.6,20,"2021-08-03T00:00:00Z"
"12","ec3cb60a57c0bfeb25279341fed11c00",490,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4077.6,15,"2020-07-14T00:00:00Z"
"13","4f278349d7cafbf56fa3b9e2b1244819",371,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3627,10,"2018-12-18T00:00:00Z"
"14","3dae83d74c8e102b8e279f54ded26cdf",372,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",7159.1,10,"2019-05-14T00:00:00Z"
"15","e234432d824a0debd21a0735555034b1",364,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6293.8,10,"2018-12-17T00:00:00Z"
"16","57409413fdb8addcbc3ffa8aec8e3120",487,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5834.2,10,"2020-04-14T00:00:00Z"
"17","fff7aae8a661f892942d5b3c618e099b",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",1844.7,20,"2019-09-24T00:00:00Z"
"18","82d156453b4291865e784a95a6a458ef",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3757,20,"2020-12-15T00:00:00Z"
"19","072afb06f938d1b1e7e7078d4785b781",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3039.4,10,"2021-01-25T00:00:00Z"
"20","78461e18d721088fbcb6943d33eee826",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4851.3,15,"2021-01-25T00:00:00Z"
"21","6dde3e60561ff3b111ce81ff433897f5",483,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5438.7,10,"2019-12-16T00:00:00Z"
"22","c1d39aee67f2531595b902c79f72d495",490,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5806.3,10,"2019-12-03T00:00:00Z"
"23","0a833c0d7a50e2519e818c96d9771a49",370,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4275.2,20,"2018-12-17T00:00:00Z"
"24","152f34cb571d4daa7b582569226a209f",370,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3977.3,10,"2018-12-17T00:00:00Z"
"25","580510718dcb05786e832800bb03c4be",371,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4701.1,15,"2018-12-18T00:00:00Z"
"26","caba93db868c46b2ef5b97b15f172b08",487,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4439.3,10,"2020-08-24T00:00:00Z"
"27","8dd8f213eccae5f7c598c990cf6bd9fe",490,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4219.3,15,"2019-12-03T00:00:00Z"
"28","f76949cacbc8dd6dce9e880d5353c627",485,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5378.4,5,"2020-07-14T00:00:00Z"
"29","bbb02d1571fe89ec4aaebbec3566624d",486,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5139.9,10,"2020-12-14T00:00:00Z"
"30","9f9db619ac722aa8956afe897573e79a",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5603.2,10,"2019-10-28T00:00:00Z"
"31","c3ea481a0318825064e9691c0d3bad8c",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4763.3,15,"2020-09-08T00:00:00Z"
"32","e92f115f7593144ac82a0d902b26487e",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3198.3,10,"2019-10-28T00:00:00Z"
"33","6cb3a4035cc09b8e5ebafa248305efb1",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6920.4,10,"2021-08-03T00:00:00Z"
"34","18dfbb12025f1fa72fc7aadbc8173b82",490,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",2719.4,10,"2020-07-14T00:00:00Z"
"35","2a3597d91820cc0577b9c26207e74ab4",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",2997,5,"2019-09-23T00:00:00Z"
"36","62778d4b4208fcd7ccec2f0f46cb17e0",484,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",1969.2,20,"2020-04-27T00:00:00Z"
"37","1cb43e78984ec66eb9d87c853d7485f4",484,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3143.6,5,"2020-04-27T00:00:00Z"
"38","288c6cf68422cb5505c0742d3efac138",486,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4069.8,20,"2020-04-28T00:00:00Z"
"39","ab75ab044723a2885f36345bced0b29e",487,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",7042.2,5,"2020-08-25T00:00:00Z"
"40","7d04036abc8311597cde99860196a8bc",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6668.2,5,"2021-01-26T00:00:00Z"
"41","c95db6f971f42cc424b913f118c0e242",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4580,15,"2019-12-02T00:00:00Z"
"42","1cb43e78984ec66eb9d87c853d7485f4",484,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3132.3,20,"2020-04-27T00:00:00Z"
