"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point"
"1","5a43ab3adcffd21b6db00ffcdde5c8c6",400,"female","GMC late adult (53 weeks)","HMGULA_001","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",3.5
"2","70637a41ff4b30732267a0920ac7d0d6",517,"male","GMC late adult (70 weeks)","HMGULA_002","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",2.2
"3","e20334e63c9c8cca149aeaa34da02ad0",516,"female","GMC late adult (70 weeks)","HMGULA_002","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",1.6
"4","35edc46c3ac4ee86b8299d93efb75c9b",400,"female","GMC late adult (53 weeks)","HMGULA_001","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",3.9
"5","5ad45eb12207f201973c1045809ad8cc",400,"female","GMC late adult (53 weeks)","HMGULA_001","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",2.1
"6","7c9143fdfab56058cb53a31e0b076d29",402,"female","GMC late adult (53 weeks)","HMGULA_001","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",1.3
"7","8e59c87ab994a65a4a287c7474608aa6",395,"female","GMC late adult (53 weeks)","HMGULA_001","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",1.5
"8","2847788f06da3b2c344b7a564b2aa6cd",397,"female","GMC late adult (53 weeks)","HMGULA_001","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",0.5
"9","0747fa08203ff877031c6a23f312fb2a",512,"female","GMC late adult (70 weeks)","HMGULA_002","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",1.7
"10","a9d72f2d337f46551542f37ff4443c6e",520,"female","GMC late adult (70 weeks)","HMGULA_002","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",2.5
"11","7a4096ab755f7cd94d90a4f51e0c1239",514,"male","GMC late adult (70 weeks)","HMGULA_002","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",2.3
"12","b5a89e10c405fd6f4383f00860aefc54",400,"female","GMC late adult (53 weeks)","HMGULA_001","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",1.2
"13","3ed7880eddcbda5b0f69183c264fb775",517,"female","GMC late adult (70 weeks)","HMGULA_002","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",1.9
"14","b4947c8cae3b4757b1f6df8aa86373f8",514,"male","GMC late adult (70 weeks)","HMGULA_002","Indirect Calorimetry","HMGULA_CAL_003","HMGULA_CAL","Total food intake","HMGULA_CAL_008_001",3.9
