"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point"
"1","5e540687bcf353b48c5ee3491826341c",533,"female","GMC late adult (70 weeks)","HMGULA_002","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",20.3
"2","054e2cc0dca2eb076ee9a43431a8afa1",550,"female","GMC late adult (70 weeks)","HMGULA_002","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",22.2
"3","9a52bba8003857370f11e6e0e624b02a",414,"female","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",20.8
"4","d2c109a35dad6a63ebe25586f91a99ca",413,"female","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",23.4
"5","a895068dc4a564079b6ff90a81896fdd",415,"female","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",23.1
"6","561097f73a3a7a330ebe137fd25b3483",532,"female","GMC late adult (70 weeks)","HMGULA_002","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",23.2
"7","d85bb815b681aad45ceb08b9eac7e126",408,"female","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",19.3
"8","43c825e9eb602bcfd9084b0e431b3ac7",413,"male","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",21.3
"9","37392c5b262ca4031a1d9076483ff17b",414,"female","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",21.4
"10","6aa9e2a40665168e2dc0f2e3e346cafb",532,"male","GMC late adult (70 weeks)","HMGULA_002","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",19.8
"11","2d0e8718e597ba4810a09bac6880e723",549,"female","GMC late adult (70 weeks)","HMGULA_002","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",24.5
"12","1b3f5d696b461af642239b737a5f86e5",533,"female","GMC late adult (70 weeks)","HMGULA_002","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",18.4
"13","7d6b1f0cf93de0ccdfbcc7b262c290aa",532,"female","GMC late adult (70 weeks)","HMGULA_002","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",20.8
"14","adf400bab40219c618da496de31db1c7",413,"female","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",21.6
"15","7ab57027752977cf4d1ce72d5fee0ae9",416,"male","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",18.5
"16","54ec5f249f3583d2e8c46ba2cb09d01f",413,"female","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",21.3
"17","58e9a80fa4034cbf4baeaf7ef00820b9",413,"female","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",20.8
"18","8ac6b2d5d6693bbbb21d36dcb541b7c6",408,"female","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",22.4
"19","152f34cb571d4daa7b582569226a209f",414,"male","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",23.7
"20","f4226d4b6963d4cd49543f119a0b134e",408,"male","GMC late adult (53 weeks)","HMGULA_001","Electrocardiogram (ECG)","HMGULA_ECG_003","HMGULA_ECG","QT","HMGULA_ECG_028_001",20.4
