"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point"
"1","4b8cf9eaf1f7d8b3666cdb495aa8c07f",444,"female","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",18786.5
"2","9e7a133167b767ba4899c47b9f77290d",433,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",6652.8
"3","f1853e9560842bd536d0142c22f2a759",440,"female","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",4237.77
"4","bbb02d1571fe89ec4aaebbec3566624d",557,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",1486.11
"5","271d4cf0d52288a5e0c966ba7866895d",562,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",1946.7
"6","272ae116c65924949426faca51e1dd98",568,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",26120.9
"7","531492b56240fe94e4d644dbb60f7257",441,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",8982.73
"8","d2c109a35dad6a63ebe25586f91a99ca",441,"female","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",6071.43
"9","8ecb8a0222992d08842d54d23fdb3a1e",440,"female","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",20718.3
"10","dea916d0fb0ffe4264c14af29467dbe5",568,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",9588.32
"11","f5f406bbb0d1ccbac9e867c5b9d72b4b",560,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",3225.92
"12","2d0e8718e597ba4810a09bac6880e723",557,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",2859.47
"13","2e29e8dd578f67215e3108a1f1f0fe17",561,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",3519.72
"14","9df6ef31b31a6355bb93a9226de3169d",561,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",1585.57
"15","85726fd3a36e6bf15e28d40650d34bea",560,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",287.368
"16","90bec722164633446595b2732715501e",561,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",292.837
"17","2ae2bde59c8150831bba72307db7b118",545,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",1703.08
"18","e3e4930b8b7fb097cfaf9723ed907640",442,"female","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",29628.1
"19","5a43ab3adcffd21b6db00ffcdde5c8c6",441,"female","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",7534.19
"20","8dd8f213eccae5f7c598c990cf6bd9fe",560,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",2248.34
"21","85cd1944c00c36a9402543b11edd38d8",560,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",688.789
"22","e2acc0922ca0b608b56cb2e61bd63629",430,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",7344.58
"23","ea4ebde341d0ccc8f064bd044840d482",436,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",51052.8
"24","fbf8102ba2171aa45d9ec6d36897cda5",440,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",15624.7
"25","fe52075accb753b7ea182d4dddaec37a",562,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",1275.2
"26","8b96264d8c994cfb1b8ecddabcf80ced",441,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",4629.28
"27","fefc855da649a0d6e5ad5c2202219941",441,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",6658.6
"28","b31d0148c4192a7f1c8e184d9f3ab9a0",442,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",14173.2
"29","54ec5f249f3583d2e8c46ba2cb09d01f",441,"female","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",33000.7
"30","bac61fd41042150e9394dba712c5597a",561,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",3822.03
"31","6aeb99d06bb849c34009b80456fa8a9d",561,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",5714.8
"32","26254535a28b49054790fd1fbffe701c",557,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",2451.69
"33","be996a2a71816e43693571ce11968677",440,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",21696.3
"34","d765432a5388b15577e2123a4ac593ba",561,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",3108.8
"35","ad4ae23454445f4559f05322e6452b2e",543,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",784.309
"36","2847788f06da3b2c344b7a564b2aa6cd",437,"female","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",11596.1
"37","18dfbb12025f1fa72fc7aadbc8173b82",559,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",1276.79
"38","0f7544d0ed7e2e9db92e200c44b97dec",561,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",909.813
"39","59387ffa701d388bdca9a463efb2c228",560,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",7980.32
"40","488ef9b8fb260072af8a8b0abe585260",561,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",2307.51
"41","695f176b837d29b2473937c09ab220b9",539,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",926.776
"42","661096ab3fd600b818da32f012e7716d",557,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",3349.77
"43","ad2e42291f0d74bed9e79e98aa67c666",424,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",20134.4
"44","49b4ae3db82fb8d66751b62cd9ebbb47",439,"male","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",14719.6
"45","bc6e6ed30b0ea44ac6d9bfd84e1d1a87",559,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",2540.7
"46","8e59c87ab994a65a4a287c7474608aa6",437,"female","GMC late adult (53 weeks)","HMGULA_001","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",14117
"47","ee3c79f1f414adc7d52d3a4f4265e097",557,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",3215.99
"48","82ce624d4afffae00e57b6ad2df16aec",554,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",1373.96
"49","071707b58c7c1bd83aede7e7462eebad",555,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",586.076
"50","13338c71860add2eaa945b25b7d2425d",561,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",4449.47
"51","92ac14060b953f30f1e17f6eb9611614",555,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",948.859
"52","d5e045683035bd2ab14406cfdab9e048",556,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",5926.7
"53","8f97e90e893e25d7524c9e273d1afbf2",562,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",1409.68
"54","a9d72f2d337f46551542f37ff4443c6e",560,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",14016.3
"55","537501447118d2df80c21fa4a280a3c6",562,"female","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",834.939
"56","6b4a4e8e74fbd9152a664228ee5a86a4",560,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",2082.4
"57","df13cc2b9598cba85007fe775e5eb24c",561,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",2338.15
"58","2848df9802bdaf0aa3518abff744c97d",552,"male","GMC late adult (70 weeks)","HMGULA_002","Insulin Blood Level","HMGULA_INS_003","HMGULA_INS","Insulin","HMGULA_INS_001_001",3313.01
