"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point"
"1","3ed7880eddcbda5b0f69183c264fb775",552,"female","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",2.452
"2","6e846a3b75830f5db0974b8c6dfaa8ab",434,"female","GMC late adult (53 weeks)","HMGULA_001","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.671
"3","37392c5b262ca4031a1d9076483ff17b",432,"female","GMC late adult (53 weeks)","HMGULA_001","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",2.649
"4","c3ea481a0318825064e9691c0d3bad8c",516,"female","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.406
"5","6937766721255fa062539994d1c530d1",516,"male","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",2.167
"6","ea4ebde341d0ccc8f064bd044840d482",428,"male","GMC late adult (53 weeks)","HMGULA_001","Minispec","HMGULA_MIN_001","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",2.979
"7","de4ebcba98326c317e20df9047d6674e",519,"male","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.784
"8","6e8cda38bc9fe6265d63d4acd4046b96",517,"male","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.79
"9","84b4fe88701a693d83df31d6fb5730a0",518,"male","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.495
"10","92b2490c81b91f82189bfe794139d3d4",512,"female","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",0.881
"11","fbf8102ba2171aa45d9ec6d36897cda5",432,"male","GMC late adult (53 weeks)","HMGULA_001","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.424
"12","2e29e8dd578f67215e3108a1f1f0fe17",556,"male","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.052
"13","90bec722164633446595b2732715501e",518,"female","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.008
"14","2758bd590f4f720ed87201c8f6c97a0b",548,"female","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.946
"15","9a2ecaa88eae0b7ef140c1aa1d9e4976",517,"female","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",2.862
"16","90bec722164633446595b2732715501e",553,"female","GMC late adult (70 weeks)","HMGULA_002","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.089
"17","e85abb9a9aa002c329617d11a36233c8",430,"female","GMC late adult (53 weeks)","HMGULA_001","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",1.084
"18","f9ad9327a4d154239961d4e834794768",435,"female","GMC late adult (53 weeks)","HMGULA_001","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",2.447
"19","977cd0373e8fc7deb832d104ab8a455b",435,"male","GMC late adult (53 weeks)","HMGULA_001","Minispec","HMGULA_MIN_002","HMGULA_MIN","Free fluid","HMGULA_MIN_006_001",2.745
