"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point"
"1","fc5ef40e1910e91213329aedbda87f8e",529,"male","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",10
"2","b6134e73ea37690c14371d0075c6d974",540,"female","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",10
"3","5ad45eb12207f201973c1045809ad8cc",421,"female","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",8
"4","4b8cf9eaf1f7d8b3666cdb495aa8c07f",425,"female","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",8
"5","54ec5f249f3583d2e8c46ba2cb09d01f",422,"female","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",8
"6","5e540687bcf353b48c5ee3491826341c",541,"female","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",8
"7","77eda7923f362b13898c17039235787e",528,"male","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",11
"8","38312a74a710489a4004b759647a9660",529,"female","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",8
"9","8e0710da139af2bd8a5120b06a8265c6",418,"male","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",10
"10","c16b02ce85fa7a9ae9ef7662b11ad421",414,"female","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",8
"11","43c825e9eb602bcfd9084b0e431b3ac7",422,"male","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",8
"12","66c6415886edf2d54bf32733f75ea835",418,"female","GMC late adult (53 weeks)","HMGULA_001","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",7
"13","c2cabcce6a800f75466f7e27852fc236",538,"female","GMC late adult (70 weeks)","HMGULA_002","OCT","HMGULA_OCT_001","HMGULA_OCT","Right fundus number of main vessels","HMGULA_OCT_004_001",10
