"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point"
"1","c5583345f0476fbb13351998cccc166d",559,"male","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",53.2
"2","2d1a59d86a729fa16f507a12f86d837c",560,"female","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",35.3
"3","9f3e03658b3afc9f4f322a604b74611e",554,"female","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",42.4
"4","7e56e77c30a0a6a62439104e61ea3501",561,"male","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",33.8
"5","d6f56aa582cee3a32682c4bd4e033ae0",560,"male","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",34.5
"6","4b8cf9eaf1f7d8b3666cdb495aa8c07f",444,"female","GMC late adult (53 weeks)","HMGULA_001","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",37.5
"7","b1fe73aa16df5f86af1b3b0af22052c2",549,"male","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",35.7
"8","84cc849a452ea5f5681fe961a1e35e98",554,"male","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",42.8
"9","86c56f204979aee1c1631c93f3e68e4d",561,"male","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",48.5
"10","5ca45b492478536238b44087ebf3f76a",539,"male","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",39.6
"11","9be25c73b3dd3099eb7456e7cd18e682",549,"male","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",29.9
"12","848c53a601fdd1e7f30253b408f52804",539,"female","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",36.5
"13","92ac14060b953f30f1e17f6eb9611614",555,"male","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",32.5
"14","4fba727f5c56b552356367f814c20b26",560,"female","GMC late adult (70 weeks)","HMGULA_002","Gross Pathology and Tissue Collection","HMGULA_PAT_002","HMGULA_PAT","Body Weight","HMGULA_PAT_049_002",33.7
