"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point"
"1","e8ca47b59fc58878e57f7faa70e9c8f8",395,"male","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.074
"2","6937766721255fa062539994d1c530d1",513,"male","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.022
"3","35ceb8232e4c0e52725085bcf076e446",512,"female","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.095
"4","8ecb8a0222992d08842d54d23fdb3a1e",393,"female","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.03
"5","c5583345f0476fbb13351998cccc166d",512,"male","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.014
"6","c326d26c34dcf501316cb104260c43f2",513,"male","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.078
"7","d0ffcccb563b4f02d3d51408fb6b8689",504,"female","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.089
"8","6593b6fa3f5218148f9fa1b68188d0e3",392,"male","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0
"9","13043f1734ebf4e457fe637ad27e1431",393,"male","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.003
"10","8e59c87ab994a65a4a287c7474608aa6",390,"female","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.007
"11","8532505698bb282d1418ad3bf0ce910f",391,"male","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.001
"12","89fd89f9bd1f971e8d4052800f27232b",390,"male","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0
"13","d8f34bd5e187d46e39b0057656ca15e0",389,"female","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.087
"14","6df1b75f01be60c65535aa5cb8c5d86a",502,"male","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.076
"15","1c220d17f5f835d12da2858c0ac28678",512,"female","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.025
"16","ecb5b2b0dec562439c8216f0574f7565",514,"male","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.101
"17","9e849e7438c35644412037f52e233f98",513,"male","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.011
"18","541683381cbbf659061df1446ae4c762",393,"female","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.16
"19","8a1a8ad4e137f1c32812d9f5377971f6",395,"female","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.064
"20","06d35fbd6a1517b2cf32b5f7184fa9ea",392,"male","GMC late adult (53 weeks)","HMGULA_001","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.002
"21","f3fbb89777a08737690385c97dd9bdaa",503,"female","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.024
"22","d765432a5388b15577e2123a4ac593ba",514,"male","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.107
"23","e1ca6766d65c7f299e2eda98461b2f52",491,"female","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.037
"24","b0aeba63f4a69053f82c5bdd74df0035",512,"female","GMC late adult (70 weeks)","HMGULA_002","Transepidermal water loss","HMGULA_TEW_001","HMGULA_TEW","Skin surface water loss","HMGULA_TEW_003_001",0.029
